,ID,A1,CA3,CA5,RCC,ROC,D,Point,end,pred,radius,centre
18253,7335,3.0670904774060057,9.19672927146278,15.354646379282634,415.3354110136139,356.4752788597472,42.80784014815124,POINT (-793177.5808999985 -1162135.496199999),False,1,392.3663734437902,POINT (-793374.87657422 -1161796.3732333146)
18254,7335,3.039609938603171,9.224272049649764,15.38205895133103,826.036201019093,1312.787946778377,125.54903632521028,POINT (-793215.6875 -1162155),False,1,392.3663734437902,POINT (-793374.87657422 -1161796.3732333146)
18255,7335,3.117571633640586,9.224939618471424,15.272666222173354,3026.3896505286484,15896.43097174339,19.83585593118308,POINT (-793332.691300001 -1162200.5265999995),False,0,,
18256,7335,3.067758046227665,9.165965806164175,15.202375112811731,300.19258484806534,328.65164262706,24.482946389518915,POINT (-793351.3445000015 -1162207.2734000012),False,1,,
18257,7335,2.9806361262959253,9.045193540567976,15.29633906005054,154.75389245984815,183.62377438771244,25.280551969460543,POINT (-793373.6906999983 -1162217.2765000015),False,0,,
18258,7335,2.996799368044386,9.111009380182288,15.310290305961647,186.4808810025924,246.26079932545272,28.674084464032507,POINT (-793394.8112999983 -1162231.1699),False,1,,
18259,7335,3.1335738858419773,9.26189613343806,15.296983884159497,4777.546342331548,1204.620066298309,47.94574034263536,POINT (-793416.2426000014 -1162250.2199000008),False,0,,
18260,7335,3.131522879551696,9.319548389819186,15.385281384491762,3822.8223083322014,2804.7846751829147,29.043789217886104,POINT (-793452.3319999985 -1162281.7848999985),False,0,,
18261,7335,3.054451624425512,9.2549081306054,15.473690203041684,276.09209754052216,411.10486206844206,19.056916228817872,POINT (-793474 -1162301.125),False,0,,
18262,7335,3.068933626628191,9.20859343764801,15.41148568456014,260.64676865210043,246.01792447386975,18.811432632704022,POINT (-793489.2677999996 -1162312.5293999985),False,0,,
